a;n_bits;x_value;x_log10;trials;time_ms_avg;time_ms_median;time_ms_min;time_ms_max;n_hex_prefix
5;1024;1000;3.00;5;0.010;0.009;0.008;0.012;0xeb65a6a48b8148f6...
5;1024;100000;5.00;5;0.046;0.045;0.045;0.048;0xeb65a6a48b8148f6...
5;1024;10000000;7.00;5;0.083;0.083;0.083;0.085;0xeb65a6a48b8148f6...
5;1024;1000000000;9.00;5;0.121;0.121;0.121;0.122;0xeb65a6a48b8148f6...
5;1024;100000000000000000000;20.00;5;0.327;0.323;0.322;0.345;0xeb65a6a48b8148f6...
5;1024;10000000000000000000000000000000000000000;40.00;5;0.710;0.702;0.692;0.760;0xeb65a6a48b8148f6...
5;1024;1000000000000000000000000000000000000000000000000000000000000;60.00;5;1.060;1.057;1.056;1.075;0xeb65a6a48b8148f6...
5;1024;100000000000000000000000000000000000000000000000000000000000000000000000000000000;80.00;5;1.437;1.435;1.430;1.447;0xeb65a6a48b8148f6...
5;1024;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;100.00;5;1.817;1.800;1.797;1.889;0xeb65a6a48b8148f6...
17;1024;1000;3.00;5;0.013;0.013;0.013;0.015;0xeb65a6a48b8148f6...
17;1024;100000;5.00;5;0.051;0.050;0.050;0.053;0xeb65a6a48b8148f6...
17;1024;10000000;7.00;5;0.088;0.088;0.088;0.089;0xeb65a6a48b8148f6...
17;1024;1000000000;9.00;5;0.125;0.125;0.124;0.127;0xeb65a6a48b8148f6...
17;1024;100000000000000000000;20.00;5;0.329;0.329;0.328;0.331;0xeb65a6a48b8148f6...
17;1024;10000000000000000000000000000000000000000;40.00;5;0.700;0.699;0.698;0.705;0xeb65a6a48b8148f6...
17;1024;1000000000000000000000000000000000000000000000000000000000000;60.00;5;1.073;1.068;1.067;1.093;0xeb65a6a48b8148f6...
17;1024;100000000000000000000000000000000000000000000000000000000000000000000000000000000;80.00;5;1.449;1.442;1.441;1.478;0xeb65a6a48b8148f6...
17;1024;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;100.00;5;1.849;1.825;1.807;1.940;0xeb65a6a48b8148f6...
5;2048;1000;3.00;5;0.007;0.006;0.006;0.010;0xf412b29347294739...
5;2048;100000;5.00;5;0.137;0.134;0.134;0.149;0xf412b29347294739...
5;2048;10000000;7.00;5;0.264;0.264;0.263;0.267;0xf412b29347294739...
5;2048;1000000000;9.00;5;0.410;0.406;0.397;0.437;0xf412b29347294739...
5;2048;100000000000000000000;20.00;5;1.118;1.110;1.101;1.161;0xf412b29347294739...
5;2048;10000000000000000000000000000000000000000;40.00;5;2.395;2.394;2.386;2.405;0xf412b29347294739...
5;2048;1000000000000000000000000000000000000000000000000000000000000;60.00;5;4.031;3.725;3.693;4.803;0xf412b29347294739...
5;2048;100000000000000000000000000000000000000000000000000000000000000000000000000000000;80.00;5;5.045;5.043;4.995;5.122;0xf412b29347294739...
5;2048;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;100.00;5;6.732;6.793;6.474;6.997;0xf412b29347294739...
17;2048;1000;3.00;5;0.024;0.023;0.023;0.028;0xf412b29347294739...
17;2048;100000;5.00;5;0.152;0.151;0.151;0.155;0xf412b29347294739...
17;2048;10000000;7.00;5;0.283;0.282;0.282;0.285;0xf412b29347294739...
17;2048;1000000000;9.00;5;0.605;0.632;0.416;0.790;0xf412b29347294739...
17;2048;100000000000000000000;20.00;5;1.245;1.204;1.144;1.432;0xf412b29347294739...
17;2048;10000000000000000000000000000000000000000;40.00;5;2.808;2.760;2.736;2.997;0xf412b29347294739...
17;2048;1000000000000000000000000000000000000000000000000000000000000;60.00;5;3.784;3.736;3.710;4.005;0xf412b29347294739...
17;2048;100000000000000000000000000000000000000000000000000000000000000000000000000000000;80.00;5;5.114;5.074;5.014;5.309;0xf412b29347294739...
17;2048;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;100.00;5;6.391;6.377;6.316;6.480;0xf412b29347294739...
